phase,topology,attacker_name,status,attacker_model,defender_model,csv_log,total_timesteps,duration_sec,error
attacker_pretrain,chain,chain,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/chain/ppo_attacker_CyberBattleChain_thesis_v0_20260820_005939_850266.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/chain/training_log_CyberBattleChain_thesis_v0_20260820_005939_850266.csv,500000,,
attacker_pretrain,flat,flat,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/flat/ppo_attacker_CyberBattleFlat_thesis_v0_20260820_005939_850240.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/flat/training_log_CyberBattleFlat_thesis_v0_20260820_005939_850240.csv,500000,,
attacker_pretrain,hub_and_spoke,hub_and_spoke,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/hub_and_spoke/ppo_attacker_CyberBattleHubSpoke_thesis_v0_20260820_005939_857089.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/hub_and_spoke/training_log_CyberBattleHubSpoke_thesis_v0_20260820_005939_857089.csv,500000,,
attacker_pretrain,dmz,dmz,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/dmz/ppo_attacker_CyberBattleDMZ_thesis_v0_20260820_005939_886619.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/dmz/training_log_CyberBattleDMZ_thesis_v0_20260820_005939_886619.csv,500000,,
attacker_pretrain,micro_segmented,micro_segmented,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/micro_segmented/ppo_attacker_CyberBattleMicroSeg_thesis_v0_20260820_005939_903113.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/micro_segmented/training_log_CyberBattleMicroSeg_thesis_v0_20260820_005939_903113.csv,500000,,
attacker_pretrain_super_stage,chain,super_stage1_chain,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage1_chain/ppo_attacker_CyberBattleChain_thesis_v0_20260820_015521_814507.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage1_chain/training_log_CyberBattleChain_thesis_v0_20260820_015521_814507.csv,500000,,
attacker_pretrain_super_stage,flat,super_stage2_flat,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage2_flat/ppo_attacker_CyberBattleFlat_thesis_v0_20260820_022327_053028.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage2_flat/training_log_CyberBattleFlat_thesis_v0_20260820_022327_053028.csv,500000,,
attacker_pretrain_super_stage,hub_and_spoke,super_stage3_hub_and_spoke,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage3_hub_and_spoke/ppo_attacker_CyberBattleHubSpoke_thesis_v0_20260820_025327_067526.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage3_hub_and_spoke/training_log_CyberBattleHubSpoke_thesis_v0_20260820_025327_067526.csv,500000,,
attacker_pretrain_super_stage,dmz,super_stage4_dmz,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage4_dmz/ppo_attacker_CyberBattleDMZ_thesis_v0_20260820_032255_998749.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage4_dmz/training_log_CyberBattleDMZ_thesis_v0_20260820_032255_998749.csv,500000,,
attacker_pretrain_super_stage,micro_segmented,super_stage5_micro_segmented,success,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage5_micro_segmented/ppo_attacker_CyberBattleMicroSeg_thesis_v0_20260820_035210_397837.zip,,/home/mika/projects/CBS_MARLon/experiments/20260820_005936/attackers/super/stage5_micro_segmented/training_log_CyberBattleMicroSeg_thesis_v0_20260820_035210_397837.csv,500000,,
defender_matrix,flat,chain,success,,experiments/20260820_005936/defenders/flat/vs_chain/seed0/ppo_defender_CyberBattleFlat_thesis_v0_20260820_120852_103059.zip,experiments/20260820_005936/defenders/flat/vs_chain/seed0/training_log_CyberBattleFlat_thesis_v0_20260820_120852_103059.csv,500000,,
defender_matrix,flat,chain,success,,experiments/20260820_005936/defenders/flat/vs_chain/seed1/ppo_defender_CyberBattleFlat_thesis_v0_20260820_120852_103070.zip,experiments/20260820_005936/defenders/flat/vs_chain/seed1/training_log_CyberBattleFlat_thesis_v0_20260820_120852_103070.csv,500000,,
defender_matrix,flat,chain,success,,experiments/20260820_005936/defenders/flat/vs_chain/seed2/ppo_defender_CyberBattleFlat_thesis_v0_20260820_120852_122099.zip,experiments/20260820_005936/defenders/flat/vs_chain/seed2/training_log_CyberBattleFlat_thesis_v0_20260820_120852_122099.csv,500000,,
defender_matrix,flat,chain,success,,experiments/20260820_005936/defenders/flat/vs_chain/seed3/ppo_defender_CyberBattleFlat_thesis_v0_20260820_153628_672489.zip,experiments/20260820_005936/defenders/flat/vs_chain/seed3/training_log_CyberBattleFlat_thesis_v0_20260820_153628_672489.csv,500000,,
