phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,727,5351.875,35,0,35,1,20,1,10,18.875,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,25,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,755,5351.575,28,0,28,1,11,1,10,18.575000000000003,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,26,5348.85,26,0,26,1,12,1,10,15.849999999999994,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,61,5262.7248,35,0,35,1,35,1,10,9.725000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,79,5335.4751,18,0,18,1,12,1,10,7.475,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,98,5340.0,19,0,19,1,15,1,10,7.000000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,122,5342.325,24,0,24,1,20,1,10,9.325,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,145,5342.05,23,0,23,1,16,1,10,9.05,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,186,5358.2252,41,0,41,1,14,1,10,29.224999999999987,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,211,5344.45,25,0,25,1,17,1,10,11.45,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,239,5347.7001,28,0,28,1,21,1,10,13.699999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,259,5248.9748,20,0,20,1,20,1,10,5.975,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,283,5344.4,24,0,24,1,15,1,10,11.4,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed1,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,316,5339.2998,33,0,33,1,12,1,10,21.300000000000004,0.0,,,,,,,,,
