phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,511,5316.8251,16,0,16,1,9,1,10,1.825,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,25,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,534,5318.2151,23,0,23,1,10,1,10,3.2150000000000007,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,31,5320.2251,31,0,31,1,6,1,10,5.224999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,56,5303.47,25,0,25,1,9,1,10,3.4699999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,71,5306.6598,15,0,15,1,7,1,10,1.6600000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,98,5318.0551,27,0,27,1,19,1,10,3.0550000000000006,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,116,5316.9001,18,0,18,1,14,1,10,1.9000000000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,140,5308.4598,24,0,24,1,8,1,10,3.459999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,162,5226.9048,22,0,22,1,22,1,10,1.905,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,186,5313.8002,24,0,24,1,7,1,10,3.8000000000000016,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,203,5302.185,17,0,17,1,6,1,10,2.185,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,230,5304.045,27,0,27,1,7,1,10,4.045,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,258,5227.4498,28,0,28,1,28,1,10,2.4499999999999993,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,287,5233.5798,29,0,29,1,29,1,10,2.580000000000001,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed2,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,302,5311.3702,15,0,15,1,11,1,10,1.3699999999999999,0.0,,,,,,,,,
