episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps,def_abwehr_reward,def_abgeschirmt
1,attacker,CyberBattleDMZ-thesis-v0,PPO,2001,176.775,2001,0,2001,1,1008,0,3,62.77500000000054,520.0,,,,,,,,,,,
2,attacker,CyberBattleDMZ-thesis-v0,PPO,4002,273.275,2001,0,2001,1,152,0,3,130.27500000000063,590.0,,,,,,,,,,,
3,attacker,CyberBattleDMZ-thesis-v0,PPO,6003,283.45,2001,0,2001,1,664,0,3,117.45000000000125,620.0,,,,,,,,,,,
4,attacker,CyberBattleDMZ-thesis-v0,PPO,8004,294.85,2001,0,2001,1,1000,0,5,120.85000000000093,630.0,,,,,,,,,,,
5,attacker,CyberBattleDMZ-thesis-v0,PPO,10005,251.575,2001,0,2001,1,1446,0,3,99.57500000000078,620.0,,,,,,,,,,,
6,attacker,CyberBattleDMZ-thesis-v0,PPO,12006,247.425,2001,0,2001,1,1887,0,4,113.42500000000102,730.0,,,,,,,,,,,
7,attacker,CyberBattleDMZ-thesis-v0,PPO,14007,235.325,2001,0,2001,0,-1,0,4,83.32500000000056,390.0,,,,,,,,,,,
8,attacker,CyberBattleDMZ-thesis-v0,PPO,16008,289.675,2001,0,2001,1,739,0,4,121.67500000000113,695.0,,,,,,,,,,,
9,attacker,CyberBattleDMZ-thesis-v0,PPO,18009,257.625,2001,0,2001,1,1721,0,4,105.62500000000082,575.0,,,,,,,,,,,
10,attacker,CyberBattleDMZ-thesis-v0,PPO,20010,177.275,2001,0,2001,0,-1,0,3,43.274999999999764,270.0,,,,,,,,,,,
11,attacker,CyberBattleDMZ-thesis-v0,PPO,22011,327.05,2001,0,2001,1,1137,0,4,155.05000000000015,880.0,,,,,,,,,,,
12,attacker,CyberBattleDMZ-thesis-v0,PPO,24012,292.575,2001,0,2001,1,1513,0,3,120.5750000000016,730.0,,,,,,,,,,,
13,attacker,CyberBattleDMZ-thesis-v0,PPO,26013,225.925,2001,0,2001,1,203,0,4,63.92500000000109,560.0,,,,,,,,,,,
14,attacker,CyberBattleDMZ-thesis-v0,PPO,28014,196.725,2001,0,2001,1,637,0,3,86.72500000000124,775.0,,,,,,,,,,,
15,attacker,CyberBattleDMZ-thesis-v0,PPO,30015,341.35,2001,0,2001,1,1964,0,3,84.35000000000034,360.0,,,,,,,,,,,
16,attacker,CyberBattleDMZ-thesis-v0,PPO,32016,241.85,2001,0,2001,1,991,0,3,79.85000000000065,710.0,,,,,,,,,,,
17,attacker,CyberBattleDMZ-thesis-v0,PPO,34017,190.125,2001,0,2001,0,-1,0,3,40.125000000000036,375.0,,,,,,,,,,,
18,attacker,CyberBattleDMZ-thesis-v0,PPO,36018,220.5,2001,0,2001,0,-1,0,3,55.500000000000576,480.0,,,,,,,,,,,
19,attacker,CyberBattleDMZ-thesis-v0,PPO,38019,199.625,2001,0,2001,1,306,0,4,76.62500000000125,920.0,,,,,,,,,,,
20,attacker,CyberBattleDMZ-thesis-v0,PPO,40020,190.6,2001,0,2001,0,-1,0,4,51.600000000000634,525.0,,,,,,,,,,,
21,attacker,CyberBattleDMZ-thesis-v0,PPO,42021,239.625,2001,0,2001,1,749,0,4,63.62500000000045,975.0,,,,,,,,,,,
22,attacker,CyberBattleDMZ-thesis-v0,PPO,44022,236.35,2001,0,2001,1,1690,0,4,84.35000000000063,755.0,,,,,,,,,,,
23,attacker,CyberBattleDMZ-thesis-v0,PPO,46023,185.35,2001,0,2001,1,1870,0,3,40.35000000000006,490.0,,,,,,,,,,,
24,attacker,CyberBattleDMZ-thesis-v0,PPO,48024,212.55,2001,0,2001,1,476,0,4,58.550000000000416,670.0,,,,,,,,,,,
25,attacker,CyberBattleDMZ-thesis-v0,PPO,50025,174.9,2001,0,2001,1,216,0,3,66.90000000000055,515.0,,,,,,,,,,,
26,attacker,CyberBattleDMZ-thesis-v0,PPO,52026,223.95,2001,0,2001,0,-1,0,3,73.9500000000002,870.0,,,,,,,,,,,
27,attacker,CyberBattleDMZ-thesis-v0,PPO,54027,184.225,2001,0,2001,1,299,0,3,38.22500000000001,505.0,,,,,,,,,,,
28,attacker,CyberBattleDMZ-thesis-v0,PPO,56028,185.35,2001,0,2001,0,-1,0,4,41.35000000000019,515.0,,,,,,,,,,,
29,attacker,CyberBattleDMZ-thesis-v0,PPO,58029,178.9,2001,0,2001,0,-1,0,3,42.900000000000105,705.0,,,,,,,,,,,
30,attacker,CyberBattleDMZ-thesis-v0,PPO,60030,162.625,2001,0,2001,0,-1,0,3,38.62499999999985,735.0,,,,,,,,,,,
31,attacker,CyberBattleDMZ-thesis-v0,PPO,62031,185.825,2001,0,2001,1,1119,0,4,44.82500000000029,730.0,,,,,,,,,,,
32,attacker,CyberBattleDMZ-thesis-v0,PPO,64032,200.575,2001,0,2001,1,1459,0,3,53.57500000000023,920.0,,,,,,,,,,,
33,attacker,CyberBattleDMZ-thesis-v0,PPO,66033,145.2,2001,0,2001,1,381,0,3,47.20000000000029,755.0,,,,,,,,,,,
34,attacker,CyberBattleDMZ-thesis-v0,PPO,68034,153.3,2001,0,2001,0,-1,0,3,30.299999999999816,600.0,,,,,,,,,,,
35,attacker,CyberBattleDMZ-thesis-v0,PPO,70035,180.375,2001,0,2001,1,897,0,3,40.375000000000135,925.0,,,,,,,,,,,
36,attacker,CyberBattleDMZ-thesis-v0,PPO,72036,136.075,2001,0,2001,0,-1,0,3,18.07499999999994,315.0,,,,,,,,,,,
37,attacker,CyberBattleDMZ-thesis-v0,PPO,74037,142.25,2001,0,2001,1,1896,0,3,36.24999999999984,745.0,,,,,,,,,,,
38,attacker,CyberBattleDMZ-thesis-v0,PPO,76038,213.425,2001,0,2001,1,1348,0,4,65.42500000000003,665.0,,,,,,,,,,,
39,attacker,CyberBattleDMZ-thesis-v0,PPO,78039,180.025,2001,0,2001,1,1206,0,3,61.02500000000011,735.0,,,,,,,,,,,
